scenario,year,fuel,avg_margin_eur_per_MWh,median_margin_eur_per_MWh,share_negative_margin_pct,share_stranded_pct,plants
Net Zero 2050,2043,oil,-984.9281015746253,-984.9281015746253,100.0,100.0,106
Net Zero 2050,2044,coal,-1040.449579463953,-1040.449579463953,100.0,100.0,279
Net Zero 2050,2044,gas,-471.48252047077267,-471.4825204707726,100.0,100.0,439
Net Zero 2050,2044,oil,-1034.928835718453,-1034.928835718453,100.0,100.0,106
Net Zero 2050,2045,coal,-1096.9368475779168,-1096.9368475779168,100.0,100.0,279
Net Zero 2050,2045,gas,-496.7917496625005,-496.7917496625005,100.0,100.0,439
Net Zero 2050,2045,oil,-1084.9295698622807,-1084.9295698622807,100.0,100.0,106
Net Zero 2050,2046,coal,-1126.833338625275,-1126.833338625275,100.0,100.0,279
Net Zero 2050,2046,gas,-508.71934567926417,-508.71934567926417,100.0,100.0,439
Net Zero 2050,2046,oil,-1111.4725996855013,-1111.4725996855013,100.0,100.0,106
Net Zero 2050,2047,coal,-1156.7298296726328,-1156.7298296726328,100.0,100.0,279
Net Zero 2050,2047,gas,-520.6469416960279,-520.6469416960279,100.0,100.0,439
Net Zero 2050,2047,oil,-1138.015629508722,-1138.015629508722,100.0,100.0,106
Net Zero 2050,2048,coal,-1186.6263207199909,-1186.6263207199909,100.0,100.0,279
Net Zero 2050,2048,gas,-532.5745377127913,-532.5745377127913,100.0,100.0,439
Net Zero 2050,2048,oil,-1164.5586593319422,-1164.5586593319422,100.0,100.0,106
Net Zero 2050,2049,coal,-1216.522811767349,-1216.522811767349,100.0,100.0,279
Net Zero 2050,2049,gas,-544.5021337295549,-544.5021337295549,100.0,100.0,439
Net Zero 2050,2049,oil,-1191.101689155163,-1191.101689155163,100.0,100.0,106
Net Zero 2050,2050,coal,-1246.419302814707,-1246.419302814707,100.0,100.0,279
Net Zero 2050,2050,gas,-556.4297297463186,-556.4297297463186,100.0,100.0,439
Net Zero 2050,2050,oil,-1217.6447189783835,-1217.6447189783835,100.0,100.0,106
